talker	recording	task	condition	SFP.chinese	SFP.jyutping	SFP.ipa	F0.hz	duration.ms	mean.F0.utterance	mean.syll.duration.ms
s124	s124ali	ali	ADS	囉	lo1	lɔ	260.46	130.99999999985812	213.0111871	315.2499999999918
s124	s124ali	ali	ADS	喎	wo3	wɔ	111.89	93.00000000007458	189.18934692857144	450.75000000002774
s124	s124ali	ali	ADS	囉	lo1	lɔ	163.69	55.62499999996362	NA	361.4062499999591
s124	s124cl	cl	ADS	喎	wo3	wɔ	163.69	403.0000000000023	210.65241425	218.25000000000028
s124	s124cl	cl	CDS	喎	wo3	wɔ	132.2	44.00000000001114	142.13915105	243.49999999999739
s124	s124cl	cl	CDS	喎	wo3	wɔ	152.03	224.9999999999659	208.43946024285714	486.2499999999983
s124	s124cl	cl	CDS	呢	le1	lɛ	154.84	131.00000000002865	235.129083425	162.75000000000261
s124	s124cl	cl	CDS	囉	lo1	lɔ	106.62	52.00000000002092	199.2611883	415.50000000000864
s124	s124cl	cl	CDS	喎	wo3	wɔ	168.63	188.00000000004502	191.558543525	457.00000000000784
s124	s124cl	cl	CDS	喎	wo3	wɔ	197.7	337.00000000004593	208.67278756666667	204.25000000000182
s124	s124cl	cl	CDS	囉	lo1	lɔ	243.33	421.9999999999686	208.83086055	415.49999999999443
s124	s124cl	cl	CDS	喎	wo3	wɔ	243.33	116.00000000004229	NaN	64.00000000000716
s124	s124cl	cl	CDS	喎	wo3	wɔ	242.13	81.99999999999363	228.4728207	102.99999999999443
s124	s124cl	cl	CDS	喎	wo3	wɔ	183.8	65.99999999997408	226.65264536666666	231.49999999999693
s124	s124cl	cl	CDS	喎	wo3	wɔ	209.84	101.99999999997544	251.2642971	117.999999999995
s124	s124cl	cl	CDS	囉	lo1	lɔ	159.09	35.00000000002501	166.2244795	286.24999999999545
s124	s124cl	cl	CDS	囉	lo1	lɔ	262.35	204.00000000000773	240.49397602857144	513.4999999999934
s124	s124cl	cl	CDS	囉	lo1	lɔ	191.35	397.0000000000482	194.7086086	544.2500000000052
s124	s124cl	cl	CDS	呢	le1	lɛ	262.56	38.000000000010914	212.8653025125	417.0000000000016
s124	s124cl	cl	CDS	呢	le1	lɛ	196.71	48.00000000000182	212.4462861	69.49999999999079
s124	s124cl	cl	CDS	囉	lo1	lɔ	277.32	115.0000000000091	265.4812162	173.7500000000125
s124	s124cl	cl	CDS	喎	wo3	wɔ	155.84	125	221.1286894875	431.2500000000057
s124	s124cl	cl	CDS	喎	wo3	wɔ	184.08	155.99999999994907	196.89753944	491.50000000000205
s124	s124cl	cl	CDS	囉	lo1	lɔ	220.63	92.99999999996089	212.364419925	465.7499999999857
s124	s124cl	cl	CDS	囉	lo1	lɔ	238.62	40.99999999993997	225.40276836	540.2499999999861
s124	s124cl	cl	CDS	呢	le1	lɛ	194.75	38.99999999998727	227.8801264	77.24999999999227
s124	s124cl	cl	CDS	呢	le1	lɛ	194.75	129.99999999999545	NaN	132.49999999999318
s124	s124cl	cl	CDS	喎	wo3	wɔ	213.91	42.00000000003001	226.11420383333333	125.5000000000166
s124	s124cl	cl	CDS	喎	wo3	wɔ	177.78	142.00000000005275	254.836338975	213.00000000002228
s124	s124cl	cl	CDS	喎	wo3	wɔ	143.42	96.00000000000364	192.57096655	271.5000000000032
s124	s124cl	cl	CDS	囉	lo1	lɔ	207.62	442.99999999998363	189.163951	260.7500000000016
s124	s124cl	cl	CDS	喎	wo3	wɔ	153.77	91.00000000000819	155.00300373333332	310.24999999999636
s124	s124cl	cl	CDS	喎	wo3	wɔ	164.72	92.9999999998472	226.75439481428572	268.24999999996635
s124	s124cl	cl	CDS	呢	le1	lɛ	198.49	92.00000000009823	198.496601725	198.00000000003593
s124	s124cl	cl	CDS	呢	le1	lɛ	173.75	63.99999999985084	194.34803485	80.99999999996044
s124	s124cl	cl	CDS	呢	le1	lɛ	236.5	132.99999999981083	172.44085005	83.24999999996407
s124	s124cl	cl	CDS	呢	le1	lɛ	156.13	57.999999999992724	232.55723262499998	191.99999999995043
s124	s124cl	cl	CDS	喎	wo3	wɔ	187.52	104.00000000004184	189.84774764999997	228.49999999999682
s124	s124cl	cl	CDS	呢	le1	lɛ	187.52	155.99999999994907	256.7940701	71.49999999995771
s124	s124cl	cl	CDS	喎	wo3	wɔ	183.88	55.000000000063665	215.4126161	213.75000000000455
s124	s124cl	cl	CDS	囉	lo1	lɔ	NA	38.99999999998727	NA	452.24999999999227
